País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,-,SBMC,MINACU,13.55,-48.2,440
BZ,-,SBAX,ARAXA-M,19.57,-46.97,999
BZ,-,SBFT,FRONTERA-MG,20.28,-49.18,487
BZ,-,SBGV,GOVERNADOR VALADARE,18.88,-41.98,171
BZ,-,SBIP,SANTANA DO PARAISO (AER. USIMINA,19.47,-42.48,239
BZ,-,SBFU,SAO JOSE DA BARRA - MG (AER. FUR,20.68,-46.32,735
BZ,-,SBVG,VARGINHA (AER.BRIG. TROMPOWSKY,21.58,-45.47,923
BZ,-,SBTB,ORIXIMINA (AEROPORTO TROMBETAS)-,-1.48,-56.38,87
BZ,-,SBCA,CASCAVEL-PR,25,-53.5,754
BZ,-,SBGU,GUARAPUAVA-PR (AER. TANCREDO T.,25.38,-51.52,1.065
BZ,-,SBTL,TELEMACO BORBA,24.32,-50.65,796
BZ,-,SBTD,TOLEDO,24.68,-53.7,565
BZ,-,SBBZ,BUZIOS-RJ (AER. UMBERTO MODIANO,-22.75,-41.95,3
BZ,-,SBCB,CABO FRIO,22.92,-42.08,4
BZ,-,SBMM,MARLIM P20 OIL,22.35,-40.08,10
BZ,-,SBEC,PIRANA P15 OIL,22.67,-40.6,10
BZ,-,SBNM,AEROP. SANTO ANGELO - R,28.27,-54.17,322
BZ,-,SBCX,CAXIAS DO SUL - AER. CAMPO DOS B,29.2,-51.18,754
BZ,-,SBCD,CACADOR,26.78,-50.93,1.029
BZ,-,SBCN,CRICIUMA-SC (AER. FORQUILINHA,-28.72,-49.42,28
BZ,-,SBCM,FORQUILHINHA,28.72,-49.42,28
BZ,-,SBLJ,LAGES,27.78,-50.28,934
BZ,-,SBAQ,ARARAQUARA-S,21.8,-48.13,708
BZ,-,SBAS,ASSIS - S,22.63,-50.45,564
BZ,-,SBGP,GAVIAO PEIXOTO,21.77,-48.4,609
BZ,-,SBML,MARILHA - SP,22.18,-49.92,647
BZ,-,SBSR,SAO JOSE DO RIO PRET,20.8,-49.4,543
BZ,-,SBTA,TAUBATE-SP (BASE AVIACAO TAUBATE,23.03,-45.5,586
BZ,-,SBXI,CACHIMBO-IN-PAR,-9.35,-54.88,
BZ,-,SBUY,PORTO URUCU,-4.88,-65.35,
